source_type,participant,measure,error
human,PT_01,orientation error (degree),6.581059455871582
human,PT_01,orientation error (degree),12.15842342376709
human,PT_01,orientation error (degree),10.19888687133789
human,PT_01,orientation error (degree),8.288350105285645
human,PT_01,orientation error (degree),12.222209930419922
human,PT_01,orientation error (degree),9.465021133422852
human,PT_01,orientation error (degree),9.918176651000977
human,PT_01,orientation error (degree),11.279343605041504
human,PT_01,orientation error (degree),11.41466236114502
human,PT_01,orientation error (degree),14.482285499572754
human,PT_01,orientation error (degree),10.85536289215088
human,PT_01,orientation error (degree),11.557523727416992
human,PT_01,orientation error (degree),10.023266792297363
human,PT_01,orientation error (degree),8.617324829101562
human,PT_01,orientation error (degree),7.653861045837402
human,PT_01,orientation error (degree),7.905544281005859
human,PT_01,orientation error (degree),5.942836284637451
human,PT_01,orientation error (degree),11.173040390014648
human,PT_01,orientation error (degree),10.897930145263672
human,PT_01,orientation error (degree),19.61873817443848
human,PT_01,orientation error (degree),10.352882385253906
human,PT_01,orientation error (degree),20.390380859375
human,PT_01,orientation error (degree),11.075085639953612
human,PT_01,orientation error (degree),14.160408973693848
human,PT_01,orientation error (degree),11.182695388793944
human,PT_01,orientation error (degree),19.86614990234375
human,PT_01,orientation error (degree),12.96672534942627
human,PT_01,orientation error (degree),21.682905197143555
human,PT_01,orientation error (degree),8.651809692382812
human,PT_01,orientation error (degree),20.05618095397949
human,PT_01,orientation error (degree),6.586718559265137
human,PT_01,orientation error (degree),21.56532096862793
human,PT_01,orientation error (degree),12.411314010620115
human,PT_01,orientation error (degree),16.429025650024414
human,PT_01,orientation error (degree),10.387070655822754
human,PT_01,orientation error (degree),21.854955673217773
human,PT_01,orientation error (degree),16.027568817138672
human,PT_01,orientation error (degree),17.7590274810791
human,PT_01,orientation error (degree),8.34619140625
human,PT_01,orientation error (degree),20.75263404846192
human,PT_01,orientation error (degree),9.883816719055176
human,PT_01,orientation error (degree),10.417333602905272
human,PT_01,orientation error (degree),15.98764419555664
human,PT_01,orientation error (degree),7.015987873077393
human,PT_01,orientation error (degree),7.344996452331543
human,PT_01,orientation error (degree),13.333154678344728
human,PT_01,orientation error (degree),18.92865943908692
human,PT_01,orientation error (degree),12.919276237487791
human,PT_01,orientation error (degree),19.609254837036133
human,PT_01,orientation error (degree),8.749248504638672
human,PT_01,orientation error (degree),13.295489311218262
human,PT_01,orientation error (degree),11.027586936950684
human,PT_01,orientation error (degree),7.168285846710205
human,PT_01,orientation error (degree),7.052741527557373
human,PT_01,orientation error (degree),17.24248695373535
human,PT_01,orientation error (degree),8.293275833129883
human,PT_01,orientation error (degree),10.539766311645508
human,PT_01,orientation error (degree),13.161592483520508
human,PT_01,orientation error (degree),12.816287994384766
human,PT_01,orientation error (degree),8.511008262634277
human,PT_01,orientation error (degree),8.147481918334961
human,PT_01,orientation error (degree),7.782781600952148
human,PT_01,orientation error (degree),7.482203006744385
human,PT_01,orientation error (degree),17.878129959106445
human,PT_01,orientation error (degree),17.81231117248535
human,PT_01,orientation error (degree),15.86318016052246
human,PT_01,orientation error (degree),20.14019775390625
human,PT_01,orientation error (degree),17.389217376708984
human,PT_01,orientation error (degree),14.724042892456056
human,PT_01,orientation error (degree),14.54069995880127
human,PT_01,orientation error (degree),18.64014434814453
human,PT_01,orientation error (degree),16.161697387695312
human,PT_01,orientation error (degree),20.16303825378418
human,PT_01,orientation error (degree),21.9769229888916
human,PT_01,orientation error (degree),20.52167320251465
human,PT_01,orientation error (degree),23.34917449951172
human,PT_01,orientation error (degree),14.533979415893556
human,PT_01,orientation error (degree),16.76207733154297
human,PT_01,orientation error (degree),21.17340660095215
human,PT_01,orientation error (degree),19.00450325012207
human,PT_01,orientation error (degree),23.382036209106445
human,PT_01,orientation error (degree),19.319089889526367
human,PT_01,orientation error (degree),15.114031791687012
human,PT_01,orientation error (degree),25.87425994873047
human,PT_01,orientation error (degree),21.244659423828125
human,PT_01,orientation error (degree),20.48768615722656
human,PT_01,orientation error (degree),16.953794479370117
human,PT_01,orientation error (degree),11.380480766296388
human,PT_01,orientation error (degree),22.36446952819824
human,PT_01,orientation error (degree),22.9426212310791
human,PT_01,orientation error (degree),16.196334838867188
human,PT_01,orientation error (degree),16.246994018554688
human,PT_01,orientation error (degree),23.258344650268555
human,PT_01,orientation error (degree),21.89499282836914
human,PT_01,orientation error (degree),14.57244110107422
human,PT_01,orientation error (degree),22.52724266052246
human,PT_01,orientation error (degree),15.159257888793944
