condition,measure,observed,estimated
simultaneous contact,force (N),6.745368481,8.751317024
simultaneous contact,force (N),6.606058121,8.725560188
simultaneous contact,force (N),6.389052868,8.71662426
simultaneous contact,force (N),6.106554031,8.712100983
simultaneous contact,force (N),5.9439044,8.385222435
simultaneous contact,force (N),5.604462624,8.276499748
simultaneous contact,force (N),5.465345383,8.365988731
simultaneous contact,force (N),5.329164982,8.250928879
simultaneous contact,force (N),5.051732063,8.092669487
simultaneous contact,force (N),5.056678295,7.873656273
simultaneous contact,force (N),4.886716843,7.542688847
simultaneous contact,force (N),4.553020954,7.409813404
simultaneous contact,force (N),4.614108562,7.321956158
simultaneous contact,force (N),4.282522678,7.01880455
simultaneous contact,force (N),4.060788155,6.88666153
simultaneous contact,force (N),3.977436304,6.779684067
simultaneous contact,force (N),3.774917364,6.212120056
simultaneous contact,force (N),3.832753658,5.919149876
simultaneous contact,force (N),3.552464247,5.719748497
simultaneous contact,force (N),3.552464247,5.555001259
simultaneous contact,force (N),3.504282951,5.374266624
simultaneous contact,force (N),3.367491961,5.103221893
simultaneous contact,force (N),3.23882699,4.921998024
simultaneous contact,force (N),3.103224277,4.809933186
simultaneous contact,force (N),3.095157623,4.63360548
simultaneous contact,force (N),2.917190552,4.454197407
simultaneous contact,force (N),2.872281313,4.283700466
simultaneous contact,force (N),2.785677671,4.060639858
simultaneous contact,force (N),2.700000048,4.095834732
simultaneous contact,force (N),2.563200951,4.003913879
simultaneous contact,force (N),2.471841335,3.894335508
simultaneous contact,force (N),2.284732103,3.875603914
simultaneous contact,force (N),2.426932096,3.827066183
simultaneous contact,force (N),2.351595163,3.815289497
simultaneous contact,force (N),2.291287899,3.781892538
simultaneous contact,force (N),2.20454073,3.76281786
simultaneous contact,force (N),2.172556162,3.727193356
simultaneous contact,force (N),2.034698963,3.706645012
simultaneous contact,force (N),2.111871243,3.690044165
simultaneous contact,force (N),2.149418592,3.686703205
simultaneous contact,force (N),2.009975195,3.679661989
simultaneous contact,force (N),1.944222212,3.675393581
simultaneous contact,force (N),1.994993687,3.669393063
simultaneous contact,force (N),1.630950689,3.664206028
simultaneous contact,force (N),1.80554688,3.661421061
simultaneous contact,force (N),1.746425033,3.654355526
simultaneous contact,force (N),1.824828744,3.661634207
simultaneous contact,force (N),2.163330793,3.651112556
simultaneous contact,force (N),2.379075527,3.642550468
simultaneous contact,force (N),2.477902174,3.650889874
simultaneous contact,force (N),2.557342291,3.653788567
simultaneous contact,force (N),2.664582491,3.645946741
simultaneous contact,force (N),2.86006999,3.642292976
simultaneous contact,force (N),2.984962225,3.652537823
simultaneous contact,force (N),3.12409997,3.648488045
simultaneous contact,force (N),3.12409997,3.778385878
simultaneous contact,force (N),3.280243874,3.865734816
simultaneous contact,force (N),3.420526266,3.843494177
simultaneous contact,force (N),3.641428232,3.86284852
simultaneous contact,force (N),3.560898542,3.872718334
simultaneous contact,force (N),3.720215321,3.856474161
simultaneous contact,force (N),3.841874599,3.798466921
simultaneous contact,force (N),4.060788155,3.81844449
simultaneous contact,force (N),4.060788155,3.826345921
simultaneous contact,force (N),4.221374512,3.813308239
simultaneous contact,force (N),4.420407295,3.820093632
simultaneous contact,force (N),4.580393314,3.836651087
simultaneous contact,force (N),4.6615448,3.83703208
simultaneous contact,force (N),4.827007294,3.910765171
simultaneous contact,force (N),4.964876652,3.963757277
simultaneous contact,force (N),5.047771454,4.020068169
simultaneous contact,force (N),5.186521053,4.163147449
simultaneous contact,force (N),5.353503704,4.222090721
simultaneous contact,force (N),5.437830448,4.261449814
simultaneous contact,force (N),5.746302605,4.35265398
simultaneous contact,force (N),5.798275471,4.468248367
simultaneous contact,force (N),6.003331661,4.672745228
simultaneous contact,force (N),6.191930294,4.829380989
simultaneous contact,force (N),6.363175392,5.056940079
simultaneous contact,force (N),6.499999523,5.123976707
simultaneous contact,force (N),6.80955267,5.179693222
simultaneous contact,force (N),7.033491135,5.460595608
simultaneous contact,force (N),7.119691372,5.496317387
simultaneous contact,force (N),7.25603199,5.955426693
simultaneous contact,force (N),7.566372395,6.125757217
simultaneous contact,force (N),7.742092609,6.555517673
simultaneous contact,force (N),8.006872177,6.800279617
simultaneous contact,force (N),8.40832901,6.916714191
simultaneous contact,force (N),8.414274216,7.069270134
simultaneous contact,force (N),8.502352715,7.352480412
simultaneous contact,force (N),8.902808189,7.486598492
simultaneous contact,force (N),9.080749512,7.632371902
simultaneous contact,force (N),9.304300308,7.940363407
simultaneous contact,force (N),9.348261833,8.042106628
simultaneous contact,force (N),9.575489998,8.322436333
simultaneous contact,force (N),9.794897079,8.397397041
simultaneous contact,force (N),9.978978157,8.430352211
simultaneous contact,force (N),10.06677723,8.663973808
simultaneous contact,force (N),10.20637131,8.684840202
simultaneous contact,force (N),10.38893604,8.692651749
simultaneous contact,force (N),10.34891319,8.744369507
simultaneous contact,force (N),10.48045826,8.917356491
simultaneous contact,force (N),10.45896721,8.95663166
simultaneous contact,force (N),10.60848713,9.020866394
simultaneous contact,force (N),10.47568607,9.019188881
simultaneous contact,force (N),10.44317913,9.103618622
simultaneous contact,force (N),10.34842968,9.077184677
simultaneous contact,force (N),10.35229397,9.155658722
simultaneous contact,force (N),10.30048466,9.155696869
simultaneous contact,force (N),10.11830044,9.15225029
simultaneous contact,force (N),9.908581734,9.190145493
simultaneous contact,force (N),9.619771004,9.180711746
simultaneous contact,force (N),9.135097504,9.263917923
simultaneous contact,force (N),9.100549698,9.230667114
simultaneous contact,force (N),8.474668503,9.18834877
simultaneous contact,force (N),8.55277729,9.176760674
simultaneous contact,force (N),9.051519394,9.200016975
simultaneous contact,force (N),9.205433846,9.206897736
simultaneous contact,force (N),9.489467621,9.223081589
simultaneous contact,force (N),9.575489998,9.218704224
simultaneous contact,force (N),9.656085968,9.218780518
simultaneous contact,force (N),9.654532433,9.213582993
simultaneous contact,force (N),9.325771332,9.245005608
simultaneous contact,force (N),9.282240868,9.126072884
simultaneous contact,force (N),8.981648445,8.954299927
simultaneous contact,force (N),8.841380119,8.964829445
simultaneous contact,force (N),8.780091286,9.010492325
simultaneous contact,force (N),8.5,9.001585007
simultaneous contact,force (N),8.220705986,9.035281181
simultaneous contact,force (N),8.360622406,8.98558712
simultaneous contact,force (N),7.941032887,8.929807663
simultaneous contact,force (N),7.801282406,8.964038849
simultaneous contact,force (N),7.324615955,8.930336952
simultaneous contact,force (N),7.244997978,8.871584892
simultaneous contact,force (N),6.827151775,8.856872559
simultaneous contact,force (N),6.546755314,8.639492035
simultaneous contact,force (N),6.466839314,8.674854279
simultaneous contact,force (N),6.243396282,8.703354836
simultaneous contact,force (N),6.186275005,8.434076309
simultaneous contact,force (N),5.828379631,8.757888794
simultaneous contact,force (N),5.662154675,8.683094978
simultaneous contact,force (N),5.468089581,8.541609764
simultaneous contact,force (N),5.135173321,8.324973106
simultaneous contact,force (N),4.996999264,8.014817238
simultaneous contact,force (N),4.913247585,7.686940193
simultaneous contact,force (N),4.774934292,7.569949627
simultaneous contact,force (N),4.498888969,7.39670229
simultaneous contact,force (N),4.282522678,7.20085907
simultaneous contact,force (N),4.248529434,6.96195364
simultaneous contact,force (N),3.916631222,6.849052429
simultaneous contact,force (N),3.785498619,6.233221531
simultaneous contact,force (N),3.832753658,5.935460567
simultaneous contact,force (N),3.690528154,5.636822224
simultaneous contact,force (N),3.63730669,5.301197529
simultaneous contact,force (N),3.504282951,5.217517376
simultaneous contact,force (N),3.23882699,4.794926167
simultaneous contact,force (N),3.367491961,4.736024857
simultaneous contact,force (N),3.23109889,4.659808159
simultaneous contact,force (N),2.968164444,4.612902164
simultaneous contact,force (N),2.824889183,4.264897823
simultaneous contact,force (N),2.833725452,4.149245739
simultaneous contact,force (N),2.807133675,4.087220192
simultaneous contact,force (N),2.745906115,4.059260368
simultaneous contact,force (N),2.611512899,4.00784111
simultaneous contact,force (N),2.557342291,3.958652735
simultaneous contact,force (N),2.601922274,3.90942359
simultaneous contact,force (N),2.426932096,3.842469454
simultaneous contact,force (N),2.302172899,3.817463398
simultaneous contact,force (N),2.426932096,3.80716753
simultaneous contact,force (N),2.20454073,3.780239105
simultaneous contact,force (N),2.249444485,3.77181077
simultaneous contact,force (N),2.13072753,3.762344837
simultaneous contact,force (N),2.13072753,3.744316101
simultaneous contact,force (N),2.13072753,3.726786137
simultaneous contact,force (N),2.002498388,3.702874184
simultaneous contact,force (N),1.884144425,3.697726011
simultaneous contact,force (N),1.884144425,3.692920208
simultaneous contact,force (N),2.111871243,3.447940111
simultaneous contact,force (N),1.946792245,3.434517145
simultaneous contact,force (N),1.81383574,3.428220749
simultaneous contact,force (N),1.860107541,3.424588442
simultaneous contact,force (N),1.81383574,3.422969341
simultaneous contact,force (N),1.726267695,3.425373554
simultaneous contact,force (N),1.760681629,3.415213585
simultaneous contact,force (N),1.640121937,3.41469717
simultaneous contact,force (N),1.676305413,3.408260107
simultaneous contact,force (N),1.593737602,3.406661987
simultaneous contact,force (N),1.421267033,3.408709288
simultaneous contact,force (N),1.59059751,3.407307625
simultaneous contact,force (N),1.360146999,3.404478073
simultaneous contact,force (N),1.428285599,3.354669094
simultaneous contact,force (N),1.284523249,3.447001934
simultaneous contact,force (N),1.315294623,3.429175615
simultaneous contact,force (N),1.503329635,3.437970638
simultaneous contact,force (N),1.841195345,3.428035498
simultaneous contact,force (N),1.972308278,3.431440353
simultaneous contact,force (N),2.163330793,3.463293552
simultaneous contact,force (N),2.3043437,3.43718195
simultaneous contact,force (N),2.360084772,3.441929102
simultaneous contact,force (N),2.5,3.479002714
simultaneous contact,force (N),2.690724611,3.47734189
simultaneous contact,force (N),2.758622885,3.484728813
simultaneous contact,force (N),2.908608198,3.498532534
simultaneous contact,force (N),2.922327518,3.527026176
simultaneous contact,force (N),3.047950029,3.519240856
simultaneous contact,force (N),3.18904376,3.62060523
simultaneous contact,force (N),3.264965534,3.669556379
simultaneous contact,force (N),3.255764008,3.809993982
simultaneous contact,force (N),3.264965534,3.883850574
simultaneous contact,force (N),3.546829462,4.008782864
simultaneous contact,force (N),3.548238993,4.093613148
simultaneous contact,force (N),3.687817812,4.096217632
simultaneous contact,force (N),3.780211687,4.249722004
simultaneous contact,force (N),3.921734333,4.363253117
simultaneous contact,force (N),3.983716726,4.446011066
simultaneous contact,force (N),4.220189571,4.587783337
simultaneous contact,force (N),4.26497364,4.672521591
simultaneous contact,force (N),4.305809975,5.127839565
simultaneous contact,force (N),4.522167683,5.19749403
simultaneous contact,force (N),4.687216759,5.471851349
simultaneous contact,force (N),4.688283443,5.680410862
simultaneous contact,force (N),4.909174919,5.861112118
simultaneous contact,force (N),5.077401161,5.990072727
simultaneous contact,force (N),5.186521053,6.331604958
simultaneous contact,force (N),5.437830448,6.474158287
simultaneous contact,force (N),5.491812229,6.507455826
simultaneous contact,force (N),5.660388947,6.877412796
simultaneous contact,force (N),5.916924953,6.924879074
simultaneous contact,force (N),5.968249798,7.09419632
simultaneous contact,force (N),6.328507423,7.326152325
simultaneous contact,force (N),6.5,7.51567173
simultaneous contact,force (N),6.637770653,7.595616341
simultaneous contact,force (N),6.809552193,7.68409729
simultaneous contact,force (N),6.897100925,7.758140564
simultaneous contact,force (N),7.3437047,7.756086349
simultaneous contact,force (N),7.567034245,7.83403492
simultaneous contact,force (N),7.567034245,7.896531105
simultaneous contact,force (N),7.830070496,7.937101364
simultaneous contact,force (N),8.141252518,8.065675735
simultaneous contact,force (N),8.276473045,8.056771278
simultaneous contact,force (N),8.544589043,8.155713081
simultaneous contact,force (N),8.588363647,8.171936989
simultaneous contact,force (N),8.946507454,8.187157631
simultaneous contact,force (N),8.858894348,8.252758026
simultaneous contact,force (N),9.085152626,8.327700615
simultaneous contact,force (N),9.218459129,8.335834503
simultaneous contact,force (N),9.263368607,8.382156372
simultaneous contact,force (N),9.311284065,8.446146011
simultaneous contact,force (N),9.404254913,8.471302986
simultaneous contact,force (N),9.475231171,8.443516731
simultaneous contact,force (N),9.571833611,8.499241829
simultaneous contact,force (N),9.377633095,8.497941017
simultaneous contact,force (N),9.204889297,8.535684586
simultaneous contact,force (N),9.332201958,8.549513817
simultaneous contact,force (N),9.253107071,8.55521965
simultaneous contact,force (N),9.226592064,8.55587101
simultaneous contact,force (N),8.927485466,8.555223465
simultaneous contact,force (N),8.817028046,8.12274456
simultaneous contact,force (N),8.472307205,8.047455788
simultaneous contact,force (N),8.51469326,7.897432327
simultaneous contact,force (N),8.300602913,8.049842834
simultaneous contact,force (N),7.698052406,7.984743595
simultaneous contact,force (N),8.156592369,7.974413395
simultaneous contact,force (N),8.506467819,7.950126648
simultaneous contact,force (N),8.702872276,8.006625175
simultaneous contact,force (N),8.709191322,7.951038837
